17 2
beautiful 0.5440678596496582 0.3205566704273224
boy 0.12962205708026886 -0.30449140071868896
children 0.3290785551071167 0.4687919616699219
daughter 0.22046127915382385 0.04591034725308418
family 0.3860526382923126 -0.4101652503013611
future -0.04392814263701439 -0.3669789731502533
king -0.2615387737751007 0.1939791887998581
man -0.16237816214561462 0.2392168790102005
prince 0.22924472391605377 0.2511345446109772
princess 0.41269421577453613 -0.16674715280532837
queen -0.03906502202153206 0.5461516976356506
realm -0.6242349743843079 -0.13691124320030212
royal -0.5106914043426514 0.36121276021003723
rule -0.22905947268009186 0.5342593789100647
son 0.21914616227149963 -0.0737466961145401
strong -0.2074800580739975 -0.3784179389476776
woman -0.19983966648578644 -0.1147814467549324
